Word	OCR variants
apico [4700]	apica [61], aplco [63]
practices [4691]	practises [140]
apodosis [4678]	apodoses [232], apodasis [79]
vgl [4674]	kgl [198]
coll [4673]	conl [246], copl [107], coli [516]
shooting [4660]	shouting [2484]
java [4658]	javo [98], jawa [1535]
hz [4657]	fz [827]
chased [4657]	chaser [91], chases [586], phased [65]
engaged [4655]	engages [203]
operates [4654]	operated [1051]
CVCV [4653]	CCCV [204], VVCV [57], CVVV [78], CWCV [57], CVGV [79], CVCC [1787]
october [4653]	oktober [202]
pluck [4648]	cluck [322]
strip [4648]	strap [1787]
taiwan [4647]	paiwan [1794], tainan [79]
romance [4644]	romancc [55]
walks [4643]	talks [4228]
shu [4640]	sku [1435], sdu [238], sht [817], hhu [188], siu [1777], qhu [350], ssu [833], rhu [367], khu [4636], nhu [1125], lhu [857], suu [3472], snu [486], shd [810], syu [776], zhu [1676], shl [946], shf [466], phu [3286], szu [51]
4th [4638]	gth [359], vth [148], nth [1994], tth [1215], jth [277], fth [502], xth [192]
stuff [4624]	snuff [1031]
tears [4619]	teats [143]
boro [4617]	poro [1945], bozo [221], bomo [880], boru [440], voro [328], bero [770], bora [2135], moro [3494], biro [809], zoro [247], boko [1436], bobo [1571], buro [558], boyo [526], bolo [3108], boso [326], bodo [3410], doro [1812], soro [1367], goro [2107], roro [2038], boto [1250], woro [1168], boho [301], bono [895]
fist [4614]	fiat [907]
langue [4614]	longue [389], iangue [580], mangue [76]
stephen [4603]	stephan [175]
vols [4597]	cols [137]
awake [4597]	awoke [587]
dressed [4592]	dresses [1254]
rio [4591]	riv [1523], mio [1407]
tow [4589]	toq [1688], tgw [129], pow [1321], tkw [519], tew [1969], tox [685], uow [206], tos [1932], tiw [1549], tov [1087], tcw [104], yow [1247], gow [738], tof [844], tog [2328], kow [2187], iow [642], mow [2589], tuw [864], oow [789], tjw [304], eow [319], tod [2708], dow [2994]
sita [4588]	xita [242], siti [3511], gita [1966], sdta [70], sija [499], sisa [1110], nita [1249], siia [373], suta [716], hita [1386], sata [1721], sima [1993], bita [1589], mita [1388], siva [760], pita [4029], siza [182], lita [1209], sina [4470], rita [1924], sipa [723]
aman [4588]	aban [737], uman [1052], apan [1630], ayan [877], dman [118], aqan [218], mman [217], awan [1987], amad [633], amag [219], iman [2264], amaa [715], kman [159], atan [1121], amen [2689], amam [706], amal [859], amun [915], amai [995], amak [831], amat [1769], amas [1580], asan [1482], aran [1574], amin [2868], agan [1383], adan [706], anan [3349]
pond [4584]	pony [491], pood [172]
alas [4575]	anas [671], olas [221], alah [625], alai [704], alak [1898], alal [675], alam [1713], agas [462], abas [440], alat [682], amas [1580], alaw [296], ayas [277], apas [437]
kini [4573]	koni [2025], kivi [531], kiti [1786], dini [1587], kili [1959], rini [535], kihi [433], pini [1120], cini [1039], xini [844], keni [1455], kinu [580], hini [3376], aini [512], tini [2730], kimi [1073], kiki [2530], lini [868], sini [3485], kiri [3441], wini [1150], nini [3688], kidi [1329], kuni [3658]
cord [4571]	cork [1072]
ihc [4570]	rhc [773], chc [1525], ivc [1312]
neutralized [4570]	neutralised [1492], neutralizes [291]
s2 [4563]	f2 [610], h2 [542], w2 [748], b2 [1277], y2 [1077], d2 [2233], q2 [225], u2 [810], k2 [794], m2 [1129], o2 [1068], g2 [893], i2 [2637], a2 [3847], c2 [1262], e2 [1745], p2 [3404], sz [2291], sx [3338], r2 [993], t2 [1696], l2 [2834], n2 [2846]
800 [4562]	l00 [90]
stays [4559]	sways [76], stabs [257]
ute [4558]	rte [1000], uti [4541], uee [418], pte [837], uge [656], uce [538], uve [740], vte [1242], uts [1262], ume [2538], uke [1741], uye [674], ude [1805], uue [246], uwe [1817], utc [395], utd [372], upe [745], uto [4105], cte [683], lte [2255], utu [3501], ule [2321]
3i [4550]	3z [144], 3y [1034], 3x [383], 3r [2445], 3q [388], 3w [1274], 3v [283], 3t [2210], 3k [868], 3j [1003], 3h [955], 3o [4159], 3l [2160], 3c [3675], 3g [970], 3e [2431]
ink [4540]	ick [937], ynk [163], enk [954], snk [93], inr [882], ank [1516], ilk [2373], ijk [528]
nts [4540]	nty [1789], lts [1084], ntr [2143], xts [271], cts [1327], tts [976], mts [564], ncs [291], ntt [1322], nth [1994], sts [1481], ntl [1258], rts [1000], ngs [1254], ntc [676], nns [593], nds [1921]
A4 [4538]	Q4 [228], U4 [314], S4 [1318], M4 [1132], K4 [483], O4 [107], I4 [1122], Z4 [170], E4 [855], X4 [579], C4 [1610], P4 [1655], AH [3511], T4 [2831], AJ [3123], L4 [616], AX [1199], AZ [1118], F4 [1138], J4 [1324], H4 [525], B4 [1441], W4 [322], D4 [1032]
DCL [4530]	NCL [2650], VCL [1968], OCL [56]
poem [4529]	poet [2945]
mixe [4528]	mije [702]
3du [4523]	3ds [404], 3su [107], 3ou [185], ldu [1395], 3dl [1707], fdu [262], 3do [121]
lex [4514]	iex [152], ldx [85], lev [1674], lcx [94], ltx [93]
chadic [4510]	chamic [2462]
swimming [4504]	skimming [70]
ladder [4502]	larder [86]
nach [4501]	noch [2660], nich [751], ndch [120]
aff [4498]	afn [379], acf [824], abf [177], agf [343], uff [701], afv [83], eff [470]
FROM [4496]	FROG [142]
raft [4484]	rafl [107], rafi [292], rqft [50], waft [242], rapt [155], rast [800], daft [238], rajt [112]
nous [4481]	noms [1805], sous [2941], tous [1559], vous [2175]
protect [4480]	protest [673]
hoc [4480]	huc [380], doc [2800], hac [1741], hic [1625], hec [1846], hqc [185]
á½ [4468]	áq [91], b½ [104], t½ [147], n½ [93]
udi [4458]	uqi [214], uzi [1698], udu [2063], edi [3179], uda [2334], uji [1078]
8a [4453]	8j [270], 8h [465], 8i [2293], 8n [1582], 8o [1854], 8l [1838], 8m [969], 8b [3105], 8c [2112], 8f [914], 8g [1019], 8d [1210], 8e [1273], 8y [682], 8s [685], 8v [319], 8w [288], 8u [552]
decl [4451]	decm [310], decf [816]
juice [4450]	juicy [327]
suru [4449]	soru [322], seru [483], furu [645], sura [2441], suzu [139], supu [497], huru [919], sugu [656], siru [332], zuru [273], duru [1213]
pushed [4445]	gushed [59], pushes [618], rushed [767]
NOTE [4435]	NONE [212]
goi [4432]	roi [2766], doi [3272], gok [1278], zoi [353], gog [1023], loi [3234], gob [715], woi [2314], poi [3956], gou [2149], gdi [495], gei [2590], ggi [724], ghi [1233], gos [1676]
reduplicant [4428]	reduplicand [116]
canada [4423]	kanada [156]
tns [4417]	trs [1083], tms [1157], lns [763]
alan [4415]	adan [706], aian [185]
policy [4412]	polity [210]
andâ [4407]	aidâ [67], endâ [562], addâ [216], indâ [167], anyâ [414], antâ [764]
vare [4398]	varu [743], vahe [2998], vage [141], vure [137], yare [674], vake [239], eare [193], gare [1185], tare [2231], vara [2989], iare [266], vate [497], vire [329], vane [622], varo [571], vave [569], vore [380]
thither [4392]	whither [1927]
nmb [4388]	imb [4189]
idu [4385]	iju [1145], ihu [1115], ivu [632], mdu [564], igu [1095], adu [3837], imu [2657], izu [385], icu [1143], iiu [1468], iku [3651], udu [2063], iwu [539], rdu [409], ifu [723], idz [455], isu [2960], iyu [1586], ido [2823], ilu [2774], idh [478], ibu [2595]
crowd [4382]	crows [1159]
neu [4379]	heu [1182], seu [1433], aeu [206], geu [1649], nef [885], ieu [360], nec [2157], nea [3357], meu [1570], zeu [139], nev [1123], keu [1168], beu [679], yeu [497], teu [1955], deu [1341], niu [4113]
spell [4378]	spelt [2073], spill [4222]
atâ [4377]	ahâ [726], htâ [633], anâ [2279], alâ [1441], arâ [1214], qtâ [71], apâ [662], ttâ [1642], etâ [850], abâ [687], vtâ [263], ltâ [1271], afâ [264], ayâ [730], ftâ [1176], adâ [1217], utâ [1208], aoâ [390], otâ [1307], amâ [1305], asâ [2477], auâ [516], aqâ [1303], ntâ [1051], awâ [446], atf [755], acâ [1137], stâ [826], aaâ [1049], dtâ [420], azâ [79], atm [640], atj [1089], agâ [500], axâ [379], atw [324], aeâ [218], akâ [1657], ktâ [314], aiâ [1162]
stern [4369]	stein [1311]
VOL [4367]	VAL [1559], SOL [202], VBL [504], POL [3643], VEL [224], COL [1345]
quid [4359]	quin [1204], quis [337], buid [147], quia [766], quod [1159], quio [1927], guid [411]
hamer [4353]	hamor [228], harer [249], hamar [1293]
jack [4350]	mack [471], jacq [338]
ANIM [4349]	ANOM [288]
kuma [4343]	duma [1785], fuma [269], zuma [197], kuga [308], kuza [362], kuva [339], kumu [1744], kuwa [2196], kume [1378], kumo [478], kuba [1457], kumi [1615], kuya [1147], kufa [338], kuda [2112], koma [3170], numa [2860], kima [1629], vuma [177], suma [1884], luma [1772], tuma [2212], kura [4054], wuma [225], kula [4233]
NJ [4336]	YJ [699], DJ [3766], BJ [1321], HJ [1845], NK [2102], NB [2934], LJ [3501], NX [1058], NY [2589], TJ [2654], PJ [1994], NQ [456], NU [2654], NV [4006], XJ [673], EJ [984], VJ [2513], AJ [3123], GJ [489], KJ [615], MJ [1477], RJ [660], QJ [1842]
MOOD [4329]	HOOD [51], MOON [166]
pinch [4328]	punch [2345]
originated [4326]	originates [1796]
ache [4325]	acne [147]
SK [4315]	CK [1955], SY [1020], NK [2102], SL [3791], EK [1258], SW [3216], VK [968], WK [525], BK [3859], HK [1482], TK [1137], UK [1852], JK [654], PK [2243], GK [1145], RK [561]
kê [4314]	cê [793], eê [101], vê [191], aê [437], iê [236], gê [900], nê [732], lê [1088], tê [3608], pê [2021], rê [721], yê [451], dê [1479], wê [552], bê [1225], hê [1253], jê [1085], oê [162], mê [630], sê [930], uê [166], qê [377]
childâ [4310]	childt [68]
ook [4305]	onk [532], oog [709], oof [374], oos [1328], ooc [705], ood [3916], oom [1475], ool [2190], oon [3624], aok [235], ock [446], vok [1046], oek [123], oot [3398], oop [436], ooh [813], oor [2268], ooj [611], ooy [561], fok [843]
downâ [4301]	downt [59], downl [64]
tina [4299]	tona [2193], tiha [677], oina [390], tita [1953], dina [2485], tila [1781], tena [4029], tifa [239], nina [3554], hina [4056], lina [1276], tino [1429], tika [2729], tuna [4120], rina [911], tini [2730]
sup [4295]	sug [1542], lup [1075], gup [842], mup [435], sep [3791], tup [2326], nup [1313], kup [2851], sop [1940], sut [3465], stp [605], eup [133], suy [937]
readers [4294]	leaders [2484]
ages [4293]	aged [4196], ager [780]
eighty [4287]	eighth [3808], eights [66]
jadi [4282]	hadi [1411], jari [2266], dadi [2278], padi [1884], jaji [444], jddi [67], tadi [1459]
ary [4282]	azy [538], ars [1959], ery [1456], avy [336], ory [1378]
tne [4276]	tnt [1106], tke [2023], tle [2477], tnd [1357], yne [310], rne [1573], qne [183], cne [701], tnc [488], tve [845], tnl [613], tno [840]
org [4276]	orf [542], ort [2219], ork [2200], ory [1378]
spears [4276]	shears [208]
statives [4272]	stativcs [67]
kore [4270]	hore [896], kohe [212], kose [474], pore [1038], kone [2377], koqe [109], kole [1886], kowe [479], kobe [845], oore [340], koge [122], zore [119], koye [239], kire [984], koke [422], kori [2562], koie [67], kora [2736], kope [687], dore [623], kome [874], gore [1867], koru [1065], koce [71], kote [1675], jore [342], rore [306], kure [1937], kere [3886]
awi [4268]	ewi [787], owi [1627], afi [3032], awy [238], aws [302], awu [2919], awt [833], aai [2214], awm [152], iwi [2460], awo [2134], uwi [1615], awk [557], avi [1821], aci [3399]
edu [4264]	edc [102], ehu [813], eiu [144], ede [3749], odu [1153], edl [410], cdu [110], ewu [474]
EXP [4261]	EXF [447], EXE [75], NXP [216], EXO [187], EXH [1119], EXI [286], EXS [134]
sey [4259]	dey [2462], rey [2679], eey [638], pey [1646], sef [831], mey [1912], sez [826], yey [2022], tey [2865], ney [2758], soy [1852], ley [2285], wey [2988], zey [358], sek [3256]
dependency [4258]	dependence [1786]
sane [4252]	sans [2558], saae [321], sone [1410], sare [2440]
reliable [4249]	reliably [648]
intervocalically [4243]	intcrvocalically [73]
chang [4241]	khang [494], chung [3261], zhang [1548], thang [896], shang [1709], ching [912], chdng [65], chana [410], cheng [1600], dhang [56], chong [1678], phang [231]
handed [4239]	hander [50], hanged [615]
card [4238]	cars [3064], cart [4110]
tightly [4235]	lightly [2165]
akin [4234]	ikin [578], atin [1951]
lame [4230]	lamb [3700], lade [504], lane [2016], lase [601], tame [3603]
bona [4218]	tona [2193], buna [1315], zona [612], yona [582], gona [917], nona [1427], mona [3421], lona [618], rona [754], bina [2660], boni [1580], fona [288], eona [93], bosa [438], iona [1040], bono [895], wona [1180], bbna [51], bdna [191], vona [498]
haya [4213]	hara [3791], daya [1614], hama [4090], hata [3084], haaa [129], haca [742], baya [2678], hafa [849], hada [1782], kaya [3500], naya [2097], waya [2439], hiya [3160], haxa [250], haga [1372], hasa [867], taya [2451], yaya [2268], hawa [2346], zaya [202], haba [1314], hala [3544], hdya [86], hoya [367], gaya [2522], hayy [238], heya [1101], vaya [459], hayi [1371], hayo [314], huya [359]
THAT [4208]	WHAT [1585], THAN [277], CHAT [67]
invited [4208]	invites [802], incited [68]
crossed [4206]	crosses [859]
kuku [4202]	kugu [757], kuka [1562], kuke [246], muku [1389], kuki [1832], kutu [3316], kucu [216], kuko [309], kuvu [133], duku [815], huku [481], zuku [124], kumu [1744], kuwu [206], kusu [1002], puku [1017], kubu [511], kaku [2157], kuju [325], kudu [1388], kufu [159], wuku [178], kulu [3212], yuku [1039], keku [123], kunu [2056], guku [192], kupu [582]
seeâ [4193]	beeâ [452], secâ [164], neeâ [210], sewâ [303]
naq [4192]	uaq [313], nuq [604], raq [1302], saq [2245], nab [2482], paq [2438], qaq [874], xaq [344], yaq [1940], jaq [701], nav [1445], naz [513], haq [1013], nax [2462], iaq [421], waq [1435], neq [1703], maq [2897], nac [1974], gaq [507], kaq [1724], daq [1710], niq [1634], noq [842], baq [1463], caq [744], aaq [705], laq [1508]
agn [4191]	aln [1030], agk [210], acn [364], abn [366], apn [500], agy [266], asn [809], kgn [168]
ncpd [4188]	xcpd [56], ucpd [672], pcpd [736], nepd [332]
confirm [4186]	conform [4114]
whip [4185]	chip [2525], whiz [94]
TEL [4182]	VEL [224], TER [571], DEL [925], AEL [141], TEM [799]
nonverbal [4182]	converbal [1512]
boiling [4179]	coiling [172], bailing [131]
plot [4178]	plow [2506]
ward [4176]	warn [3777], vard [219], gard [1498]
ANA [4168]	ANG [808], ANM [132], ANI [1611], INA [973], ANP [624], ANR [647], ANY [394], AWA [148]
labialized [4162]	labialised [1525]
LHL [4162]	MHL [128], BHL [278], LFL [819], LHM [114], LRL [1195], LHH [1305], LQL [55], LHS [82], LWL [149], LLL [1406], LML [127], HHL [1266]
4Â [4159]	WÂ [971], BÂ [976], YÂ [1092], DÂ [833], FÂ [519], HÂ [1440], JÂ [4056], IÂ [4035], LÂ [1375], NÂ [1221], PÂ [2075], XÂ [895], CÂ [1920], TÂ [1746], VÂ [1559], AÂ [2425], 4Z [76], 4X [84], 4Y [242], 4V [171], 4W [186], 4T [207], 4U [254], 4S [953], 4P [340], 4Q [120], 4N [109], 4O [100], 4L [358], 4M [401], 4J [1239], ZÂ [333], 4H [387], 4I [509], 4F [315], 4G [204], EÂ [798], 4E [383], KÂ [1136], MÂ [1609], OÂ [855], QÂ [1116], SÂ [3152], 4K [108], UÂ [1493], GÂ [684]
generalizations [4158]	generalisations [1156]
este [4156]	estd [162], esta [3717], esto [1083], esti [385], estu [127], esse [1397], iste [685]
swear [4140]	smear [2457]
cum [4138]	eum [548], cus [798], cur [2520], cem [1663], cim [1813], cux [208], cuc [492], cua [1773], ium [601], cul [1900], cui [2243]
factive [4137]	fective [495]
ASL [4136]	TSL [676], PSL [264], YSL [220], JSL [121], BSL [1796], MSL [321], ISL [1191], KSL [127], GSL [91]
dates [4136]	dawes [534], dated [2374]
dios [4125]	rios [341], deos [83], dias [521], dyos [147]
rad [4124]	rag [3693], rab [1564], rac [1623], zad [842], vad [1206], rnd [983], tad [3246], rar [2819], rap [3249], rwd [131], gad [3681], raz [687], fad [1224]
lolo [4123]	lodo [325], lola [1191], wolo [868], lobo [851], jolo [349], lole [552], lolu [242], loli [659], golo [1034], bolo [3108], loso [329], tolo [1627], loko [2781], lulo [134], lalo [1696], polo [2838], kolo [3143], lomo [689], lelo [589], lilo [569], lofo [327]
moe [4121]	mok [2845], soe [2170], loe [3190], noe [1794], mle [1343], mie [2616], roe [2686], mou [3014], mde [833], mue [834], boe [2235], mje [313], doe [4044], moc [1635], moa [3595], poe [2490], mse [610]
fog [4120]	bog [2329], jog [1374]
langues [4115]	longues [139]
socio [4112]	socia [179]
swing [4108]	swung [435], sting [4101], sling [1591]
prefixal [4097]	prefinal [1196]
eatâ [4097]	fatâ [836], catâ [1080], eatt [148], eatl [227], earâ [824], satâ [284], matâ [638], ratâ [466], eatf [269], katâ [236]
formulated [4096]	formulates [205]
uch [4094]	och [1569], ugh [1364], sch [2405], mch [403], uth [1345], ech [1818], nch [1444], ych [435], ucc [320], rch [661], lch [669]
oder [4093]	ober [580]
komi [4090]	komu [723], kori [2562], kodi [1231], zomi [106], koji [402], koli [1585]
châ [4089]	ahâ [726], cbâ [77], nhâ [181], bhâ [106], ohâ [327], hhâ [143], ihâ [436], khâ [434], chb [111], chd [741], ghâ [264], cjâ [215], cqâ [59], chj [325], chl [1219], dhâ [238], chn [889], chq [236], zhâ [250], ehâ [273], cuâ [631], chw [330], cnâ [231], chz [83], uhâ [267], ceâ [668], whâ [305], phâ [480], qhâ [129], ciâ [1043], jhâ [91], lhâ [518], ckâ [103], mhâ [114], crâ [350], chh [407], shâ [634], coâ [1387], ctâ [373], caâ [1115], thâ [3433]
PSR [4087]	ASR [481], PSN [573], PSM [420], POR [495], DSR [396], PSD [360], PPR [479], PSS [297], PSV [533], PUR [2283]
jean [4086]	joan [3395], dean [1166], kean [123]
19th [4084]	1oth [53]
nä [4082]	vä [258], aä [150], zä [481], eä [324], xä [237], cä [233], gä [447], iä [441], lä [1158], rä [1278], pä [710], tä [3382], bä [1215], wä [1657], dä [1150], yä [1097], fä [295], jä [458], hä [476], mä [2435], kä [3460], oä [131], sä [878]
brain [4075]	braid [1888]
meme [4074]	mcme [62], ieme [84], mete [2997]
dwell [4063]	dwelt [610]
pleased [4059]	pleaded [173]
agr [4058]	asr [1113], azr [193], agt [3901], atr [1702], vgr [200]
pale [4057]	pele [2123], pule [977], kale [3983], palo [1536]
PMM [4052]	POM [1407], PMP [3681], PMK [57]
hers [4046]	herj [221], hors [493], herf [60], hery [181], hews [78], hens [1152], hert [265]
rained [4044]	gained [3334], pained [271], ruined [2213]
kisi [4044]	kosi [1122], kiti [1786], kili [1959], kihi [433], kusi [1005], pisi [1367], ktsi [170], kizi [645], kesi [1024], kiri [3441], kici [656], kise [500], kisa [1369], kiso [361], bisi [1511], kist [342], kimi [1073], kiki [2530], gisi [464], nisi [1605], tisi [737], kifi [308], kidi [1329]
á¼ [4039]	áq [91]
infrequent [4038]	unfrequent [62]
caste [4037]	casta [108]
broader [4035]	broaden [245]
nahi [4032]	wahi [681], rahi [640], gahi [1070], nuhi [102], naki [1849], hahi [284], jahi [265], nari [2943], kahi [1219], cahi [395], dahi [450], nehi [281], nabi [1128], naht [236], yahi [384], nahn [154], nahl [405], bahi [882], naha [3220], mahi [1065], sahi [427], tahi [1875], nohi [381], nasi [2944]
ions [4031]	lons [197], iona [1040], ious [541], uons [66]
devoted [4026]	devotes [250]
RECP [4023]	RECI [318], RECL [91], RECT [353]
mount [4016]	mound [2060]
fork [4015]	cork [1072]
dominated [4014]	dominates [1931], nominated [178]
waterâ [4002]	watery [1352], eaterâ [77], waters [2600], watert [66]
faire [4001]	taire [88], faite [186]
nzr [3996]	vzr [480], azr [193], nmr [596]
fait [3993]	lait [958], fais [372], tait [586], sait [554], faut [933], faim [191]
PTCP [3982]	PPCP [130], PTCL [3555]
ples [3981]	cles [368], plcs [65], pies [2060], bles [548], oles [281]
kpe [3979]	kle [1419], kpr [176], kpt [139], kpc [67], jpe [169], kye [2638], kpb [66], kfe [248], kpd [300], kpf [66], kpi [1319], kpk [132], kpl [509], kpm [176], kpo [1982]
poured [3973]	soured [97]
pocket [3970]	socket [357], packet [886]
ninety [3968]	nineth [74]
FACT [3967]	FACS [396], FAST [364]
tuku [3961]	muku [1389], fuku [198], cuku [348], tuke [632], tuka [1978], zuku [124], taku [3762], tusu [254], tudu [1047], nuku [1942], ruku [1492], suku [2342], puku [1017], tunu [1224], tupu [1005], tuvu [139], luku [1469], tutu [3440], yuku [1039], duku [815], turu [3046], toku [1592], tiku [325], teku [398], tumu [1007], tucu [291], huku [481]
keenan [3953]	kernan [67]
FORMS [3948]	FORMA [60]
ejective [3945]	elective [126]
pura [3944]	puga [270], puna [1696], puru [1581], pora [1681], mura [2007], pula [3153], pira [1636], puaa [362], puha [306], rura [556], tura [2302], cura [869], puri [1580], hura [1000], puka [1502], pyra [902]
interchangeable [3941]	interchangeably [2213]
ahu [3940]	aqu [1251], aju [1805], adu [3837], ahe [3593], aiu [614], avu [1625], aho [3103], ihu [1115], uhu [1599], ehu [813], afu [1579], ohu [729], agu [3177], apu [3596]
andrew [3940]	andrej [334], andrea [536]
dial [3937]	difl [177], dill [1017], cial [696]
nla [3931]	nlp [119], nva [523], nra [837], nlc [330], nlb [144], nle [2670], nld [2372], nlg [175], nlf [2521], nli [1733], nca [891], nlk [424], nlm [443], nlo [451]
bra [3929]	bja [585], bha [3196], brr [274], bro [2830], brn [183], brk [114], bri [3274], brg [114], brd [253], jra [720], wra [721], xra [196], bba [1356], zra [293], gra [3333], hra [1282], bya [2751], bka [302], bwa [3401], vra [1537], bsa [313], bga [341], sra [1747], bla [3901], bea [1978], bza [247], dra [3342], kra [3208], mra [1350]
whe [3926]	wha [2197], whc [368], whl [354], whm [222], whh [718], whi [3876], wht [449], rhe [3580]
emerged [3926]	emerges [2415]
ska [3916]	sxa [542], tka [1986], wka [193], qka [275], kka [2652], sca [517], pka [645], rka [2182], spa [2406], sku [1435], yka [1553], mka [1079], fka [403], xka [983], lka [1424], ske [1292], skm [196], skl [184], sko [2154], skn [175], ski [3051], sma [3031], sya [2873], bka [302], sna [2922], skw [1006], sba [1092], sqa [1477], hka [2101], ssa [2243], jka [522], sfa [455], sra [1747], cka [819], sks [220], sja [991], sla [2510]
adpositions [3912]	appositions [554]
kú [3910]	iú [73], gú [1877], xú [149], cú [159], zú [89], vú [405], aú [287], tú [2210], pú [1194], rú [1073], nú [2969], lú [2599], hú [682], jú [1228], fú [436], yú [1006], dú [1256], wú [692], bú [1839], sú [1058], uú [54], qú [142], oú [73], mú [1366]
dyn [3908]	dmn [168], hyn [680], dys [402], dsn [310], dym [539], dyr [424]
bye [3901]	gye [2114], bie [2677], bge [205], byo [644], fye [381], lye [2546], uye [674], bwe [1900], byi [651], bne [329], bya [2751]
3POSS [3897]	KPOSS [76], SPOSS [70], IPOSS [187], NPOSS [125]
TWO [3896]	TWI [142]
rob [3894]	rab [1564], roe [2686], rkb [100]
biri [3892]	jiri [759], giri [1506], biti [1609], bizi [462], birr [561], biru [641], bimi [271], wiri [1565], liri [430], kiri [3441], birl [109], biro [809], bira [2520], bire [388], birg [62], bibi [1640], firi [840], miri [2607], bigi [856], buri [1274], ziri [246], beri [1550], bihi [746], niri [972], bili [2768], yiri [1090], bidi [1190], bisi [1511]
pulling [3891]	culling [80]
shy [3890]	spy [1988], shd [810], sly [1115]
FORM [3890]	FORD [74]
sayâ [3885]	sadâ [283], layâ [103], mayâ [352], tayâ [71], sakâ [146], shyâ [126], satâ [284], payâ [306], sawâ [750]
residence [3884]	residency [96]
straw [3882]	strap [1787]
concords [3882]	concorda [84]
pants [3878]	panes [100]
tere [3874]	fere [878], tefe [336], tede [481], tare [2231], dere [1478], nere [1470], rere [1534], gere [1348], tehe [750], yere [658], tene [2752], sere [1702], tele [2152], tebe [827], tege [804], bere [2909], tero [1078], teke [1373], teri [1074], tera [2793], teme [1073], teve [339], tese [553]
proved [3870]	proves [1715], proven [1639]
zijn [3867]	gijn [133], zien [373], mijn [379], sijn [158], zijt [83]
pear [3867]	peas [2011]
buku [3867]	bubu [2010], biku [205], baku [2068], bulu [2677], juku [638], guku [192], duku [815], buka [2453], buke [407], buau [53], buki [719], suku [2342], buko [287]
beta [3866]	buta [1209], beka [994], betu [615], bota [840], geta [410], besa [608], neta [1531], beua [57], bera [2431], beya [498], bete [1195], bema [339], beti [1055], beto [1086]
carlos [3866]	karlos [100]
leh [3864]	teh [3240], yeh [2244], ueh [174], xeh [120], seh [1736], neh [2792], loh [2731], weh [1720], lih [1851], peh [1277], luh [1271], jeh [619], heh [1551], leb [1611], keh [1931], lej [711], meh [3056], ceh [937], lep [2190], leu [2141], geh [1079], beh [2157], lhh [378], deh [3039], aeh [376]
february [3864]	februari [73]
dani [3857]	bani [2764], dabi [577], dali [1839], daai [759]
cease [3856]	tease [2720]
neutralization [3855]	neutralisation [1273]
UR [3854]	HR [1224], JR [1355], BR [3665], UL [2539], LR [2334], VR [3230], XR [101], CR [2383], ZR [174], UY [232], UX [706], UU [2230], UT [2097], KR [533], UI [3620], UH [1593], UK [1852], UE [342], UD [2271], UA [1982], UC [1691], UB [1055]
jose [3848]	joxe [157], josd [58], xose [84]
format [3842]	foraat [53]
experienced [3839]	experiences [2542]
cooccur [3838]	eooccur [93]
roasted [3837]	roaster [54], toasted [814]
6e [3837]	6c [2020], 6d [1684], 6f [994], 6g [980], 6h [1333], 6i [2837], 6j [584], 6k [1201], 6l [1458], 6m [1551], 6n [3611], 6o [3707], 6q [249], 6r [1420], 6s [1517], 6t [2463], 6u [1348], 6v [423], 6y [1218]
minute [3831]	minuto [86]
jia [3830]	uia [853], jna [926], jla [1394], jja [1178], jif [573], xia [870], jie [2915], jic [404], jga [678], jil [2758], jij [1869], jih [1409], jxa [145], jit [2680], jiu [2138], jir [1907], jca [456], jip [1151], jva [179], jta [889], jiy [1434], jua [1358], jma [600], jka [522], jiz [164], jya [1170], jio [915]
elizabeth [3824]	elisabeth [804]
HEAD [3816]	HEAT [102], HEAR [295], DEAD [198]
duty [3815]	duly [444]
hereâ [3815]	herey [65], wereâ [257], heret [116]
clouds [3808]	cloudy [1961]
pama [3806]	pawa [736], pima [1636]
verse [3803]	terse [136], verso [206]
touched [3802]	touches [1503]
peut [3800]	peur [320], veut [311], peux [157], peul [474]
UG [3791]	UT [2097], EG [2468], RG [2201], UO [1286], UK [1852]
descendants [3789]	descendents [415]
kwana [3786]	kwaka [184], kwaba [144], bwana [279], kuana [91], mwana [2383], kwena [141]
bula [3786]	buna [1315], gula [2631], bura [2387], buya [519], bila [3049], pula [3153], bulu [2677], buwa [917], dula [572], wula [1850], buda [987], bupa [192], nula [476], buma [1096], buja [272], vula [598]
enclosed [3785]	inclosed [67], encloses [307]
niet [3785]	ziet [187], giet [156], niee [99], niem [204], wiet [103], nieu [53], liet [219], piet [366], niht [603]
toma [3784]	toua [98], tora [1754], loma [1035], tova [384], doma [1304], koma [3170], toka [2076], poma [422], thma [89], tomo [1996], homa [791], topa [860], toga [1149]
iis [3783]	iks [758], ijs [356], ihs [287], ris [3375], uis [768], qis [410], fis [1813], gis [2532], ims [448], yis [1474], ixs [115], ias [1113], iiu [1468], iiw [1042], iiv [657], iiq [654], iip [1297], iir [2957], iiy [1107], iix [504], iiz [368], iid [1562], iig [1145], iif [1105], iws [239], iic [1553], iib [1645], iim [2587], igs [155], iio [1432], iih [1491], iik [1872], iij [3031], eis [1527], ids [947], iqs [117], cis [1898], iys [181]
characterize [3783]	characterise [1054]
realize [3778]	realise [1784]
kills [3777]	kille [287], wills [257]
phe [3774]	nhe [2017], phj [217], phn [331], phl [537], phc [293], pye [1843], pte [837], mhe [868], bhe [1417], phv [61], pbe [127], phs [415], dhe [1932], phu [3286]
induced [3773]	induces [900]
