Word	OCR variants
class [315887]	cluss [132], clnss [235], ciass [218], olass [312], clasa [217], elass [182], classs [183]
past [315736]	pasl [539], pasts [590], pastt [159]
second [313378]	sccond [1978]
phrase [312927]	phrases [152398]
many [308488]	aany [387]
number [303998]	nunber [325], nuaber [446], numher [119], numbers [49435]
house [298714]	houses [24803], bouse [533]
very [298262]	veiy [412], vory [272]
place [296595]	plaoe [328], placc [2000], places [29035]
three [295983]	throe [644]
people [291747]	peoples [9186]
verbal [290905]	verbals [4249]
marker [289411]	markers [124295]
meaning [287148]	meanings [50879]
does [279864]	doea [275], doesn [18420], docs [2950]
am [277114]	em [66121], art [26908], um [48214], arc [51429], tm [16446], im [86651]
english [272723]	engiish [197]
about [268982]	ahout [187], aboutt [82]
position [259627]	positions [43874]
tense [255678]	lense [391], tenses [38975]
well [254731]	welll [166], weil [1230]
long [252297]	iong [700], loug [115]
while [251540]	whilst [5141]
head [251005]	bead [3659], liead [66], heads [22072]
table [250629]	tables [13274]
singular [250144]	singulars [2041]
pa [242952]	aa [104764], va [77017], ana [60576], ca [86544], xa [39738], ea [33875], za [36614], ala [25236], ga [185534], ia [103189], apa [16379], ina [34434], cha [27030], par [37699], pas [25438], pat [18700], nga [63378], pu [61294], aya [17720], ra [204384], pe [102308], nya [30323], po [77797], pan [35442], ama [32632], pag [6622], da [242371], fa [72758], ha [201902], ja [111536], pi [212604], sa [241230], qa [41083], nda [25092], aka [24110], tha [38712]
each [241794]	eaoh [215], cach [970]
eat [240879]	beat [40382], eats [11970], meat [66361]
3SG [240301]	3SM [2799], 3FSG [1199], 3SGM [1555], ISG [10105], 3MSG [959]
give [237010]	gave [64904]
order [235607]	ordor [146], orderr [101], orders [12751], ordcr [232]
section [235477]	sections [35242], scction [338]
part [233419]	parts [65632]
root [231104]	roots [127503]
now [230809]	how [225176]
down [229138]	dozvn [71], dovn [175]
type [228918]	types [145205], typo [981]
tone [227952]	toned [16986], tonal [36128], tones [46698], htone [146]
ki [221432]	kwa [30390], ci [80274], ei [46124], zi [23785], iti [13976], ai [112192], ani [36603], ii [187673], ini [32276], hii [7102], kia [9045], gi [76401], kon [14461], chi [42504], li [184238], kun [16170], tii [14952], pi [212604], ri [122532], yi [91146], ken [19163], kaa [20070], nii [15747], di [221286], kai [24100], kan [51817], kam [29421], kal [17919], kas [9746], kii [11553], hi [123540], wi [75288], kat [16174], fi [67364], iki [8035], ke [200255], kd [16512], tsi [21101], ko [186540], kl [21512], bi [128041], aki [12273], ku [200489], kt [14032], shi [21477], ji [81174]
construction [219975]	constructions [189446]
syllable [218010]	syllables [91177], syllabie [107]
way [216122]	ways [43538]
marked [216114]	aarked [291], narked [552]
child [216098]	ohild [391]
initial [213419]	initials [5557]
PL [212947]	DL [9074], PEJ [227], REL [55847], COL [1345], PAU [627], PR [25100], PT [27803], PRO [27326], POS [12208], PRS [20072], PI [30923], OBL [59980], CL [48623], FPL [192], HPL [1634], PCL [5731], NPL [1025], PLU [1754], MPL [308], PLZ [84], IPL [4205], PST [77450]
transitive [210966]	transitives [7326]
re [209075]	ae [30177], ve [85623], rre [2829], ite [13124], ce [55758], ge [82540], ie [46705], ru [65973], rs [19624], res [10436], rd [23851], ra [204384], rc [10816], ro [104914], ire [9702], whe [3926], pe [102308], ye [113200], nre [2549], fe [34091], je [61100], ore [14121], ure [5453], ke [200255], ri [122532], ere [24117], ue [14380], se [184389]
below [208576]	helow [140], belov [266], beiow [92]
NP [208488]	PP [37710], HP [3523], VP [52125], AP [13909], LDP [301], SNP [273], XP [3330], DP [25319]
consonant [207992]	consonants [133828], consonanl [233]
structure [204446]	structures [49268]
water [203889]	waters [2600]
ï [203498]	fi [67364]
nominal [202103]	nominals [45714]
_ [200422]	cj [8266], vc [9440], vf [2727], cl [86589], vh [2842], vj [4134], vl [11460], cd [11318], ii [187673], cx [2670], cs [12385], cr [16077], jf [6436], lf [13137], tn [27659], nl [36050], lc [16043], rr [33877], tt [51036], lj [15259], tl [54367], lv [6874], cc [12668], rf [13174], tj [21053], rc [10816], rl [23566], lr [14712], nr [19334], rh [8456], rj [12970], pj [4273], rt [36855], ft [49174], jt [13592], nn [33850], jr [12885], js [6326], jl [21079], tf [22745], fc [10322], bj [6567], jj [13246], fj [8809], fl [37403], hj [4109], oj [10647], ij [27090], uj [7913], ot [47154]
negative [198531]	negatives [5754]
chapter [196654]	chapters [16707], chaptcr [96]
work [195347]	vork [499], works [23962], worlc [100]
function [193828]	functions [102174]
third [190540]	tbird [76], lhird [143], tliird [87], ihird [95]
back [190281]	baok [320], backs [1287], hack [1800]
name [188590]	named [16061], names [77883]
th [185862]	ch [89796], rth [2124], tth [1215], rph [621], gh [12110], tho [58306], ty [24688], gth [359], tw [16820], tiv [11060], ts [88107], tn [27659], tl [54367], rch [661], ph [35122], rh [8456], tic [11530], oth [3543], tbe [20270], tlw [1825], tb [12452], tht [6039], ths [3347], thr [4013], thp [940], tne [4276], thl [3232], thi [19801], thf [1056], tha [38712]
woman [185766]	womani [124], voman [226], women [62695]
went [185581]	wenl [735], wcnt [860]
note [184075]	notes [51887], noted [58584]
us [182539]	usp [330]
action [179323]	aotion [190], actions [26793]
even [178732]	ever [26704]
put [177821]	push [14377], pull [27697], cut [114807], puts [7421]
NEG [173863]	NEV [269], NEC [1324]
cases [173168]	bases [35298], eases [1382]
main [171162]	chain [16637]
know [169170]	knew [11921], knov [276], knows [17115]
tree [169078]	trees [28267]
aspect [168921]	aspcct [392]
day [168418]	dawn [10075], days [44753]
al [168279]	el [96363], ac [30508], ars [1959], ad [62587], anc [2707], ral [5630], tal [16894], ar [109925], ual [1879], aw [44266], ay [90406], ial [4029], af [19278], nal [13964], tl [54367], ak [64640], ab [37801], mal [18882], ol [49146], ul [35051], cal [8326], bal [12181], il [120473]
father [166896]	fathers [5682]
speech [165345]	speeoh [78], spcech [150], specch [181]
much [162212]	mueh [151]
predicate [162077]	predicates [64568], predicator [3573]
mo [160899]	ito [9255], eo [24933], zo [13378], ono [11287], ano [11388], mba [11495], vo [28624], mbo [8555], apo [5305], io [37951], amo [8781], lo [135003], ngo [12866], ro [104914], po [77797], mas [18927], mar [28129], rno [1549], yo [70957], wo [73436], bo [84667], jo [46553], moo [8820], mon [20100], nto [3523], mai [41784], fo [51725], mun [13145], ndo [8581], mu [135961], ino [8544], ako [11849], ho [91592]
mother [157402]	mothcr [161], brother [99265], mothers [4629]
adjectives [157242]	adjcctives [286], adjectivals [1486]
LOC [156975]	LOCR [228], ILOC [334], FOC [41573], LIC [441]
tu [156472]	gu [71171], tar [19784], iu [26071], au [71736], taa [20460], tan [33965], cu [26498], ru [65973], pu [61294], tsa [17703], tin [29583], lu [73738], ton [17037], tii [14952], tia [10151], fu [29885], ju [46056], hu [50821], bu [72110], wu [41579], tul [5341], tun [11152], tua [10588], du [115710], yu [61727], qu [22007], tsi [21101], su [101347], nu [128104], mu [135961], vu [12714]
intransitive [155858]	intransitives [7792]
set [154875]	sets [32630]
hand [154839]	hnnd [142], hands [27460]
means [154007]	meant [10354]
going [151208]	doing [46118], golng [369]
grammar [149903]	grammer [112], grammars [9724], granmar [113], gramnar [157]
followed [148985]	foilowed [57]
system [148350]	systems [32591]
become [146117]	became [43761], bccome [243], becomc [210], becone [157], beeome [113]
few [146036]	fev [310]
our [145369]	ours [6548], ourp [205]
fact [145281]	facts [17082]
Ø [144648]	SS [39782], DS [21156]
particle [144086]	partiele [314], particles [85934]
SG [143431]	LOG [4586], AUG [8337], NSG [2816], ERG [79189], SBJ [25906], ROG [252], ISG [10105], AG [11902], SUB [22043]
possessive [142868]	possessives [8702]
NOM [141868]	COM [28972]
derived [140611]	derives [14520]
argument [140505]	arguments [79307]
group [140335]	groups [62722]
semantic [139885]	semantics [37995]
locative [138961]	iocative [262], locatives [9800]
morpheme [138920]	morphemes [86009]
away [138441]	awav [188], azvay [87]
want [137884]	wants [21517]
question [137848]	questions [79456]
ll [135845]	itl [2645], oul [1389], wil [9656], lll [8555], lld [981], lf [13137], ld [20607], lt [38794], lw [8217], tl [54367], lr [14712], ls [45428], rl [23566], dl [30124], wl [10775], jl [21079], let [119884], fl [37403], ill [65047], ofl [984], fll [2389], tll [4259]
show [135312]	shows [93140]
terms [132740]	terns [1130], terras [230]
reference [132724]	references [22099]
end [130805]	ends [28902]
1SG [130243]	1SGP [294], ISG [10105]
ed [130222]	ced [2115], zed [1731], ers [5924], ued [511], ned [3666], ted [10736], ond [6604], cd [11318], hed [2612], ely [2220], sed [5636], ent [18300], et [118274], ded [3075], ied [1950], es [86731], er [93328]
cannot [129042]	eannot [95]
four [128380]	fourr [54]
rule [128067]	rules [86037], ruie [122]
die [127806]	dies [5384], died [34501]
follows [127782]	foilows [62]
complex [127338]	complete [42026]
change [127139]	changc [371], changes [62404]
little [126095]	tittle [222]
3s [125832]	3sp [2275], 3ss [5825], 3sm [7365], 3so [2559], 3sn [1766], 3ns [1549], prs [11810], 3sg [124641], 3sf [2037], 3sa [2396], 3p [56910], 3rs [289], 3n [6586], 3m [14017], 3f [7657], ls [45428], 3ps [8152], 3fs [3564], 3pl [50548], 3pm [883], 3pf [491], 3ms [7908], 3d [11253]
simple [124413]	simplex [4933]
short [124165]	shorl [78]
dog [123029]	dogs [18173], frog [13924]
imperative [122904]	imperatives [19728]
having [122898]	haying [138]
adjective [122226]	adjectival [41068], adjcctive [158], adjectivc [177]
ng [121829]	ang [45350], ag [34737], nng [894], eg [29705], gg [8832], lng [1993], ing [61499], ig [20898], nh [10814], lg [7067], nj [19821], ngg [1867], nl [36050], nga [63378], nn [33850], nc [16657], nd [68953], ngk [1176], ny [47465], ngw [1059], ngs [1254], ns [30703], nt [61321], nts [4540], nk [11938], nce [5035], mg [8218], ung [6554], ug [10663]
dialect [121624]	dialects [119505], dialcct [229], diaiect [76]
direct [121440]	directt [75], dircct [365]
thing [121033]	things [84179], tiling [731]
preceding [119663]	preceeding [625]
analysis [119505]	analyses [12371]
discussed [116790]	discusscd [136]
food [115993]	foods [2611]
fish [115751]	flsh [182]
base [114443]	bases [35298]
look [114292]	zook [261], looks [16102], iook [433]
co [113736]	cd [11318], eo [24933], ro [104914], con [54443]
far [112574]	near [76844]
pronominal [112397]	pronominals [7853]
stop [112293]	slop [650], stops [51019]
classes [111668]	olasses [90], classcs [423], classess [96]
GEN [111612]	CEN [1041]
last [111463]	lirst [561]
linguistic [110589]	linquistic [56]
event [110004]	events [53648]
complement [109374]	complements [36792]
hit [108637]	hits [3094], hurt [14188]
called [107986]	callcd [543]
permission [107944]	permissions [89]
passive [107135]	passives [9947]
pattern [106308]	patterns [69030]
formed [105944]	forned [69], formod [75], foraed [71]
un [105649]	um [48214], uns [3293], ul [35051], ut [43381], urn [6819], ur [34324], nun [13706], una [21975], tin [29583], ton [17037], une [16368], uk [21328], ue [14380], sin [35046]
saw [105033]	says [38549], sat [27973]
ending [104600]	endings [37026]
left [104071]	ieft [136]
seems [103490]	seeas [97], seemed [4794]
village [103382]	villages [25287]
point [101840]	points [30351]
text [101828]	texts [83629]
nasal [101736]	nasals [23579]
demonstrative [101598]	demonstratives [53734]
linguistics [101297]	linauistics [79], linquistics [78]
adj [100849]	adv [71599], nadj [506], adjz [85], advl [916], adjp [683], sadj [52], adjl [316], adjn [266]
state [100504]	states [35911]
based [99903]	bused [107], baaed [185]
interrogative [99811]	interrogatives [15726]
kind [99791]	klnd [166], kinds [32765]
tr [99629]	tm [16446], gr [17093], ir [74599], vr [8222], cr [16077], itr [3926], ptr [662], pr [56611], rr [33877], tv [33945], tt [51036], tp [8586], tn [27659], vtr [6674], lr [14712], tj [21053], tb [12452], tc [25831], fr [26861], dtr [682], aor [6906], tg [8203], ctr [498], err [2629], trn [1483], sr [13517], trp [508], trs [1083], trv [999]
causative [99522]	causativc [195], causatives [15452]
book [98958]	books [22344]
information [98928]	inforaation [513]
THE [98832]	TIIE [237], THK [127]
sit [97918]	sat [27973], sits [5760], wait [29032]
adverbial [97347]	adverbials [19008]
compound [95795]	compounds [56002]
speak [95134]	apeak [427], speaks [9467]
contrast [94818]	contrasts [24139], constrast [184]
body [94756]	bodv [102]
Ð [94455]	TJ [2654], TT [13145], CO [13309]
sound [94291]	sounds [41617]
element [92769]	elements [90880], clement [1360]
nom [92621]	nomz [378], prom [2385], norn [1815]
full [92524]	fully [28589]
PAST [92131]	PASS [18026]
son [92093]	sons [10698]
3PL [92084]	MPL [308], 3MPL [123], IPL [4205], 3FPL [100], 3PLU [882], 3DL [2129], 3PC [241]
area [91862]	areas [33064]
except [91820]	exccpt [249]
vi [91379]	va [77017], vb [38067], vc [9440], vd [11000], vf [2727], vh [2842], vii [13332], vl [11460], vm [5275], vn [12267], vo [28624], vr [8222], xi [21828], vt [62893], vu [12714], vv [4561], vw [2191], vx [1310], vz [855], vsl [466], vai [11933], vac [1660], vtr [6674], var [22718], vll [1469], fi [67364], vph [1654], vbl [1950], vsc [77], viv [500]
sense [90654]	senses [7914]
sing [90643]	slng [249], sang [12525], sings [3132], song [31787]
gender [90398]	genders [9012], gander [207]
river [88947]	rivers [7783]
indicate [88717]	indicates [80096]
genitive [88459]	genitives [3600], genitival [1968], genetive [456]
level [88322]	levei [74], levels [17899], ievel [126]
context [87285]	contexts [41899], content [30418]
side [86433]	slde [89], sidc [168], sides [7041], aide [1677]
evidence [86360]	evidences [540]
five [85831]	fives [278]
POSS [85572]	FOSS [122], POSSD [804], POSSM [91], POSR [399]
home [85072]	homes [2444]
id [84915]	iy [25522], io [37951], ip [31285], ir [74599], iu [26071], iw [14559], ih [26109], ik [55802], ij [27090], ihl [1430], ic [55019], ib [22066], ie [46705], ig [20898], ad [62587], ld [20607], ixl [542], nd [68953], rd [23851], irl [2567], td [16344], igl [649], wd [7769], dd [14710], iwl [1055], iin [8150], ikl [1129], md [20511], ibl [1005], od [17238], inn [7473], iql [309], idl [1373], isl [1872], ud [13084]
open [84716]	opcn [125]
yes [83769]	ycs [185], yeah [2550]
fall [83119]	fell [29696], falls [16166]
voice [82841]	voicc [196], voices [4991]
tell [82810]	tells [8166]
process [82291]	proccss [226]
probably [82192]	probable [8127]
boy [82124]	baby [23666], boys [19104], boss [4559]
front [81685]	fiont [117]
topic [81510]	topics [15719]
large [80696]	iarge [89], larger [20041]
location [80235]	locations [9317]
mood [79869]	moods [10855]
press [79698]	prcss [55]
agent [79606]	agency [4416], agents [8084]
sp [79517]	spp [1891], ssp [222], sej [1681]
money [78939]	moneys [82], aoney [55], monev [61]
refer [78817]	refers [60414]
st [78759]	gt [9940], sv [6923], lst [4188], xt [4566], ct [23267], rt [36855], sk [14061], pt [30311], mt [21022], tt [51036], sms [409], lt [38794], nt [61321], snd [925], ft [49174], jt [13592], sts [1481], ht [16541], stl [1074], dt [14535], ste [6053], sy [13333], sta [10621], ss [34085], sr [13517], tht [6039], sti [4522], ist [17284], stt [1033], sj [9082], sn [21577], str [4268], sl [20085], sc [14160], ot [47154], sf [12885], sd [8165]
FUT [78633]	PUT [3296], FACT [3967]
2SG [78619]	ISG [10105]
result [78336]	resuit [55], results [30232]
reduplication [77947]	reduplications [3187]
discussion [77813]	discussions [5532]
distinction [77811]	distinctions [23667]
cause [77781]	caused [20129], causc [290], causes [12453]
middle [77716]	middie [52]
sleep [77300]	asleep [8550], sleepy [3916]
fire [77179]	afire [297], fires [1623], frre [187]
kill [76419]	kills [3777]
ten [76123]	tens [7317]
DAT [76109]	OAT [3862], LAT [3645], DPT [87], DET [33527]
human [76026]	humans [10047], hurnan [54]
story [76024]	stoiy [120]
drink [75773]	drank [9215], drinks [4476], drunk [13780]
III [75680]	XII [3995], CII [866], VII [15108], LII [238], XIII [3796], XVII [2508], VIII [11098], IIIA [155], IIA [929], IIIB [138]
situation [75571]	situations [23526]
possessor [74659]	possessors [9823]
bring [74593]	brings [7221]
sequence [74468]	sequences [42518]
indefinite [74202]	indefinites [2759]
dative [73555]	datives [1421]
john [73440]	johni [301]
run [72680]	ran [33026], rush [2785]
studies [72674]	studios [283]
der [71842]	uber [744], oder [4093], den [31855]
difference [71821]	differences [47653]
least [71647]	leaat [63]
3rd [71598]	jrd [626], ird [1812], hird [319]
stative [71270]	statives [4272]
mentioned [71027]	aentioned [107], nentioned [99]
close [70784]	closer [13771], elose [174], closed [33119], closc [214]
reflexive [70618]	reflective [849], reflexives [8119]
ABS [70464]	ASS [8953], ABSL [1052], ABL [29443], ABM [1192]
call [70344]	calls [12393]
later [70281]	latest [1542], lately [1053]
subordinate [70024]	subordinated [5829]
special [69743]	spccial [195]
central [69498]	ccntral [130]
every [69092]	eveiy [95]
active [68748]	activc [180]
neg [68697]	ncg [672]
girl [68262]	girls [16716]
top [68144]	tip [12916], tops [1078]
clitic [67578]	clitics [43166]
participle [67536]	participles [27687]
until [67412]	untill [130]
got [66859]	shot [14669]
lie [66793]	live [60994]
red [66482]	dyed [608]
source [66448]	sources [26744]
DEF [66259]	IDEF [256], DET [33527], DBF [277], DEIC [3680], DEM [62706], REF [14018], OEF [287]
night [66164]	nights [3283]
mark [66011]	marks [40068]
reason [65768]	reasons [22690]
ex [65766]	est [30301], exa [1998], eg [29705], equ [803], ec [13584], cx [2670], exp [3799]
line [65750]	lines [21278]
figure [65657]	figures [12943]
description [65625]	descriptions [12256]
buy [65255]	buys [1854]
true [64562]	truly [10838]
stay [64489]	slay [1004], stays [4559]
took [64457]	shook [1783]
dual [64291]	duals [1006], duall [65]
act [64143]	acts [14861]
owner [63991]	owners [2045]
east [63914]	coast [20020]
rice [63724]	ricc [179], rioe [120]
series [63699]	scries [624]
turn [63583]	turns [8711]
IV [63524]	IY [1416], IX [12378], XXV [1136], IVB [129], IIA [929], CIV [301], XIV [5135], IIB [567], IA [9414], XLV [305], XV [5058], IVA [120]
think [63367]	thinks [5352]
role [63315]	roles [23490]
exist [62989]	exists [19359]
infinitive [62987]	infinitives [10831], infinitival [6169]
beginning [62806]	beginnings [1187]
sister [62684]	sisters [9296]
relation [62673]	relations [47986]
distribution [62662]	distributions [2489]
constituent [62606]	constituents [41702]
ask [62165]	asks [7518]
talk [62044]	talks [4228], tazk [106], walk [56092]
relationship [61676]	relationships [23644]
list [61554]	lists [19724], iist [299]
year [61465]	yean [179], years [56275]
gen [61017]	igen [532], ben [20781]
male [60982]	males [4335]
motion [60764]	emotion [5010], motions [659]
ART [60736]	PRT [10404], PART [31776], PPRT [126]
AND [60282]	AMD [146]
school [60184]	schools [10851]
land [60061]	lands [4353]
mid [59661]	mids [72]
iv [59309]	ix [24815], io [37951], ive [14191], iu [26071], ij [27090], vv [4561], av [42228], ic [55019], ev [10658], xv [6626], cv [21506], ig [20898], ial [4029], rv [10145], ib [22066], tv [33945], ie [46705], tiv [11060], lv [6874], iiv [657], vvv [220], jv [2626], wv [6295], dv [4014], iii [52704], qv [729], uv [3799], sv [6923], ov [7714]
expression [59086]	expressions [52417]
compare [58848]	compared [22336], compares [2368]
god [58826]	gods [6566]
cross [58816]	across [48130]
read [58734]	reads [3400]
feminine [58719]	feminines [1437]
variation [58616]	variations [13520]
1s [58594]	1p [11549], 1pi [3475], 1sg [50608], 1so [761], 1ss [1717], ls [45428], prs [11810]
combination [58406]	combinations [37885]
account [58306]	accounts [11354]
preposition [57989]	prepositions [39335]
numeral [57737]	humeral [83]
field [57638]	fields [10652]
2nd [57540]	ilnd [313], znd [820]
inflection [57377]	inflections [14556]
light [57067]	iight [136], lights [1339], bright [7609], weight [10979]
law [56570]	iaw [675], laws [5429]
INF [56277]	IND [32010], IPF [7831], IMPF [27882], JNF [160], INTR [11876]
animate [56255]	animates [4486]
article [56129]	articles [18591]
conditional [56118]	conditionals [5748]
PRES [56089]	PRET [4548]
need [55925]	needs [16392]
dat [55716]	det [23498], stat [6848], dist [10592]
aj [55498]	cj [8266], ac [30508], ab [37801], ej [10626], vj [4134], ank [1516], aq [15756], ap [45386], ij [27090], aw [44266], av [42228], ax [19685], alp [1354], vaj [1254], waj [3396], naj [4419], anc [2707], lj [15259], ajl [965], tij [2085], pj [4273], tj [21053], rj [12970], yj [3702], laj [3603], juj [711], kaj [4126], aij [2322], ooj [611], hj [4109], jj [13246], fj [8809], maj [4931], iij [3031], oj [10647], ack [827], kj [5315], aaj [1411], jwj [213], aii [3866], uj [7913]
sign [55475]	signs [24309]
told [55295]	lold [282]
phonetic [55129]	phonetics [9439], phonemic [39567], phonctic [155]
actor [55084]	actors [5461]
comes [55029]	conies [137], comcs [144]
OBJ [54841]	OBV [3620], IOBJ [473], SBJ [25906], SUBJ [25469]
1st [54596]	rst [5877], irst [911], lst [4188], fust [804]
conjunction [54562]	conjunctions [30574]
copula [54443]	copulas [4496], copular [12244]
pig [54322]	pigs [11508]
com [54287]	cop [13719], cons [8749], comp [22214], corn [31037], hom [6195], som [15855], prom [2385], coll [4673], conc [1479], comm [4675], corr [995]
post [54233]	host [11141], posed [3530]
break [54190]	breaks [5643]
referent [54177]	referents [22676]
CV [53582]	VCV [2149], CVX [70], CVV [4473], CVT [105], CCV [2722], CVR [135], CVS [681], CVN [961], CVL [158], CVJ [118], CVK [162], CVG [206], CVC [19416], CCC [1128], CWC [261], VVV [355], CYC [202], CGV [291], GV [2268], CC [13869], VV [6376], CLV [236], NCV [340]
possessed [53412]	possessee [2306]
loc [53278]	aloc [289], lac [3920], locp [529], foc [13861], iloc [273], locm [234], ioc [664]
coming [53093]	coning [244], corning [266]
